0
""
Lightness / Tone Response				
Lightness	****	0.45	0.60	0.65
Bottom Right - Vert	****			
Red	****	0.45	0.56	0.65
Green	****	0.45	0.61	0.65
Blue	****	0.45	0.60	0.65
Lightness	****	0.45	0.60	0.65
Center - Horz	****			
Red	****	0.45	0.59	0.65
Green	****	0.45	0.62	0.65
Blue	****	0.45	0.63	0.65
Lightness	****	0.45	0.61	0.65
Top Left - Horz	****			
Red	****	0.45	0.58	0.65
Green	****	0.45	0.62	0.65
Blue	****	0.45	0.63	0.65
Lightness	****	0.45	0.60	0.65
Top Right - Horz	****			
Red	****	0.45	0.63	0.65
Green	****	0.45	0.65	0.65
Blue	***	0.35 0.45	0.66	0.75 0.65
Lightness	****	0.45	0.65	0.65
Bottom Left - Horz	****			
Red	****	0.45	0.60	0.65
Green	****	0.45	0.61	0.65
Blue	****	0.45	0.62	0.65
Lightness	****	0.45	0.61	0.65
Bottom Right - Horz	***			
Red	****	0.45	0.65	0.65
Green	***	0.35 0.45	0.66	0.75 0.65
Blue	***	0.35 0.45	0.67	0.75 0.65
Lightness	***	0.35 0.45	0.66	0.75 0.65
 	 	 	 	 
L* Noise				
Patch No. 10	****	0.00	0.25	1.00
Patch No. 11	****	0.00	0.27	1.00
Patch No. 12	****	0.00	0.28	1.00
Patch No. 13	****	0.00	0.27	1.00
Patch No. 14	****	0.00	0.30	1.00
Patch No. 15	****	0.00	0.30	1.00
Patch No. 16	****	0.00	0.32	1.00
Patch No. 17	****	0.00	0.34	1.00
Patch No. 18	****	0.00	0.40	1.00
Patch No. 19	****	0.00	0.54	1.00
Patch No. 20	****	0.00	0.65	1.00
Patch No. 21	****	0.00	0.45	1.00
 	 	 	 	 
""
